name,environment,cluster,P0_s,P1_sps,pdot_over_p,log_abs_pdot_over_p,logP,log_b_proxy
J1836-2354B,globular_cluster,M22 (NGC 6656),0.00323227,-4.8e-22,-1.485024456496518e-19,-18.828266394000625,-2.4904924,-11.904626
J1853-0842A,globular_cluster,NGC 6712,0.00214943,-2.402e-21,-1.1175055712444695e-18,-17.951750303046406,-2.6676767,-11.643552
J1905+0154A,globular_cluster,NGC 6749,0.00319294,1.922e-20,6.019530589362782e-18,-17.220437374256797,-2.4958092,-11.106028
J1911-5958A,globular_cluster,NGC 6752,0.00326619,2.9679e-21,9.086734084667457e-19,-18.041592181010028,-2.4859586,-11.506755
J1910-5959B,globular_cluster,NGC 6752,0.0083578,-7.99e-19,-9.559932039531934e-17,-16.019545195062936,-2.077908,-10.087681
J1911-6000C,globular_cluster,NGC 6752,0.00527733,2.2e-21,4.1687747402569103e-19,-18.379991571342032,-2.2775857,-11.467582
J1910-5959D,globular_cluster,NGC 6752,0.00903529,9.63e-19,1.0658207982256242e-16,-15.972315809271977,-2.0440579,-10.030216
J1910-5959E,globular_cluster,NGC 6752,0.00457177,-4.37e-19,-9.558661087500026e-17,-16.019602936493108,-2.3399156,-10.349717
J1910-5959F,globular_cluster,NGC 6752,0.00848549,7.4122e-19,8.735146703372463e-17,-16.058729796813836,-2.0713231,-10.100688
J1911+0102A,globular_cluster,NGC 6760,0.00361852,-6.58e-21,-1.8184230016691906e-18,-17.740305083753157,-2.441469,-11.311622
J1911+0101B,globular_cluster,NGC 6760,0.00538432,-2e-21,-3.714489480565791e-19,-18.430100867235517,-2.2688691,-11.48392
J1953+1846A,globular_cluster,M71 (NGC 6838),0.0048883,4.8502e-20,9.922058793445575e-18,-17.00339820386773,-2.3108421,-10.812541
J1953+1846C,globular_cluster,M71 (NGC 6838),0.0289328,4.04e-20,1.3963391030249404e-18,-17.855009099844203,-1.5386095,-10.466114
J1953+1846E,globular_cluster,M71 (NGC 6838),0.00444408,2.217e-20,4.988659070043743e-18,-17.302016175166454,-2.3522181,-11.003226
B2127+11C  0.944     30.52929     +498.85(5),globular_cluster,M15 (NGC 7078),0.00033528,2.5183e-20,7.511035552374136e-17,-16.12430018234633,-3.4745924,-11.536742
B2127+11D,globular_cluster,M15 (NGC 7078),0.0048028,-1.0701e-18,-2.228075289414508e-16,-15.65207013790369,-2.3185055,-10.144541
B2127+11E,globular_cluster,M15 (NGC 7078),0.00465144,1.85465e-19,3.987259859312385e-17,-16.3993254593996,-2.3324126,-10.532075
B2127+11F,globular_cluster,M15 (NGC 7078),0.00402704,2.7113e-20,6.732736699908618e-18,-17.171808369345023,-2.3950141,-10.980918
B2127+11H,globular_cluster,M15 (NGC 7078),0.00674339,2.138e-20,3.1705121607974623e-18,-17.49887057669651,-2.1711217,-10.920557
J2129+1210J,globular_cluster,M15 (NGC 7078),0.01184248,2.0407e-19,1.723203247968331e-17,-16.76366349546822,-1.9265573,-10.308389
J2129+1210M,globular_cluster,M15 (NGC 7078),0.00483618,-2.3686e-19,-4.8976671670616066e-17,-16.31001073175111,-2.3154975,-10.470503
